freelancer_id,name,skills,experience_years,hourly_rate,rating,jobs_completed,location,total_earnings,member_since,success_rate,on_time_delivery_rate
237,Freelancer_237,HTML,17,41,4.2,13,"Toronto, Canada",4017,15-05-2021,86%,95%
238,Freelancer_238,"Content Writing, SQL, JavaScript, UI/UX Design",17,52,4.7,15,"Dublin, Ireland",9677,26-08-2020,93%,99%
239,Freelancer_239,"CSS, UI/UX Design, Java",0,84,3.4,44,"Tokyo, Japan",8317,11-05-2023,85%,94%
240,Freelancer_240,Python,13,39,4.7,46,"Berlin, Germany",2544,07-12-2022,83%,100%
241,Freelancer_241,"C++, Java, Python",19,98,3.5,54,"Dublin, Ireland",545,07-09-2023,84%,92%
242,Freelancer_242,"React, Machine Learning",6,100,4.8,52,"Mumbai, India",9441,19-04-2023,86%,94%
243,Freelancer_243,"Node.js, React",10,42,4.2,62,"Berlin, Germany",1174,12-12-2021,87%,88%
244,Freelancer_244,CSS,7,112,4.4,16,"London, UK",5073,16-03-2023,89%,91%
245,Freelancer_245,UI/UX Design,3,72,3.2,73,"Berlin, Germany",8080,27-04-2024,80%,85%
246,Freelancer_246,"Content Writing, HTML, Java, Machine Learning",1,121,3.6,10,"Dublin, Ireland",114,23-08-2020,88%,98%
247,Freelancer_247,"CSS, UI/UX Design",4,148,4.1,40,"San Francisco, USA",4470,21-07-2022,92%,99%
248,Freelancer_248,"SQL, JavaScript, Content Writing, React",4,144,4.7,89,"Vancouver, Canada",4939,04-10-2022,83%,89%
249,Freelancer_249,"C++, HTML, JavaScript",7,34,4.3,23,"Vancouver, Canada",2086,29-02-2020,81%,100%
250,Freelancer_250,SQL,5,130,3.3,3,"Madrid, Spain",4110,08-07-2021,88%,88%
251,Freelancer_251,Python,15,125,5,98,"Sydney, Australia",4079,29-05-2021,93%,97%
252,Freelancer_252,Digital Marketing,19,86,3.9,5,"Paris, France",7988,24-10-2022,88%,94%
253,Freelancer_253,"UI/UX Design, Digital Marketing",14,34,4.6,12,"Paris, France",6234,03-10-2023,89%,96%
254,Freelancer_254,"Content Writing, HTML, C++, CSS",14,104,4.3,68,"Sydney, Australia",2454,15-02-2020,94%,99%
255,Freelancer_255,SQL,15,91,3.7,42,"Berlin, Germany",140,04-03-2020,100%,87%
256,Freelancer_256,"HTML, UI/UX Design, Data Analysis",14,61,4.8,34,"New York, USA",4626,28-09-2022,93%,92%
257,Freelancer_257,"Data Analysis, Java, Python, Digital Marketing",6,109,4.7,47,"Paris, France",4712,09-12-2021,93%,95%
258,Freelancer_258,"React, JavaScript, Python",2,147,4.2,75,"Amsterdam, Netherlands",2682,05-01-2024,94%,93%
259,Freelancer_259,"Machine Learning, C++, Java",17,41,4.6,76,"Sydney, Australia",2301,19-06-2021,87%,88%
260,Freelancer_260,"SQL, Data Analysis, Java",15,131,3.8,3,"Dublin, Ireland",7860,02-03-2024,87%,92%
261,Freelancer_261,"Java, Data Analysis, CSS, React",14,91,3.2,78,"Paris, France",5178,27-09-2022,89%,100%
262,Freelancer_262,UI/UX Design,10,145,3.8,15,"Mumbai, India",5496,16-09-2024,95%,93%
263,Freelancer_263,React,20,34,4.4,22,"Paris, France",6921,17-05-2024,82%,98%
264,Freelancer_264,"Digital Marketing, Machine Learning, Content Writing, JavaScript",2,42,4.8,44,"Dublin, Ireland",3530,09-02-2024,100%,85%
265,Freelancer_265,"React, Digital Marketing, C++",2,87,3.7,84,"Amsterdam, Netherlands",8985,06-03-2022,99%,97%
266,Freelancer_266,"HTML, JavaScript",19,102,3.7,52,"New York, USA",8911,10-06-2020,92%,100%
267,Freelancer_267,"HTML, JavaScript",10,48,5,13,"London, UK",9455,11-02-2021,93%,96%
268,Freelancer_268,"Java, C++, JavaScript, UI/UX Design",9,137,4.5,46,"New York, USA",7634,29-12-2022,83%,96%
269,Freelancer_269,"C++, UI/UX Design, CSS, Node.js",19,85,4.4,25,"London, UK",2555,03-03-2024,100%,90%
270,Freelancer_270,"JavaScript, HTML, Data Analysis, UI/UX Design",13,150,3.2,94,"Madrid, Spain",7846,23-10-2021,98%,98%
271,Freelancer_271,UI/UX Design,8,107,3.6,62,"Madrid, Spain",8012,03-09-2023,91%,96%
272,Freelancer_272,"SQL, UI/UX Design, React, Content Writing",18,70,3.4,20,"Tokyo, Japan",9291,01-12-2023,96%,94%
273,Freelancer_273,"C++, JavaScript, Data Analysis",8,60,3.4,7,"Amsterdam, Netherlands",1055,10-09-2024,80%,99%
274,Freelancer_274,"Digital Marketing, JavaScript",0,113,4.8,57,"Tokyo, Japan",3586,12-07-2022,93%,90%
275,Freelancer_275,Python,6,108,4.1,97,"Madrid, Spain",3374,02-08-2020,90%,97%
276,Freelancer_276,"Content Writing, Python",14,13,4.9,13,"Paris, France",2930,20-09-2024,83%,86%
277,Freelancer_277,Node.js,6,87,3.9,71,"Tokyo, Japan",5846,16-08-2021,95%,100%
278,Freelancer_278,UI/UX Design,16,130,4.6,89,"Berlin, Germany",1857,14-11-2021,87%,89%
279,Freelancer_279,"Data Analysis, Machine Learning, Digital Marketing",8,93,3.5,41,"Berlin, Germany",3590,06-06-2021,84%,85%
280,Freelancer_280,JavaScript,3,115,4.1,14,"Paris, France",7464,24-06-2020,99%,99%
281,Freelancer_281,Machine Learning,10,23,4.4,26,"Dublin, Ireland",9833,16-06-2023,92%,94%
282,Freelancer_282,"C++, SQL, CSS",19,148,4.2,78,"San Francisco, USA",6137,28-02-2020,92%,100%
283,Freelancer_283,"HTML, CSS",3,143,3.4,82,"Tokyo, Japan",8705,01-01-2020,83%,86%
284,Freelancer_284,"React, HTML, Python, Machine Learning",7,72,3.7,35,"Vancouver, Canada",1978,26-07-2023,96%,98%
285,Freelancer_285,"Content Writing, UI/UX Design, React",15,98,3.1,61,"Sydney, Australia",2242,18-03-2022,83%,99%
286,Freelancer_286,"CSS, Data Analysis, Python",14,35,4.4,10,"Mumbai, India",1222,15-06-2024,83%,98%
287,Freelancer_287,SQL,13,115,4.4,84,"London, UK",6538,29-06-2024,93%,85%
288,Freelancer_288,"UI/UX Design, Digital Marketing, React",7,75,3.3,21,"London, UK",2943,05-07-2020,85%,85%
289,Freelancer_289,"React, UI/UX Design, HTML",17,70,4.6,27,"Madrid, Spain",7827,05-01-2020,90%,96%
290,Freelancer_290,"SQL, Digital Marketing, Node.js",17,44,4.5,90,"Berlin, Germany",8944,01-04-2020,90%,91%
291,Freelancer_291,"Machine Learning, Content Writing, C++",15,145,3.5,59,"Berlin, Germany",6647,02-03-2024,98%,100%
292,Freelancer_292,"HTML, Java, Digital Marketing, Python",5,11,3.7,46,"Berlin, Germany",4473,14-05-2024,81%,89%
293,Freelancer_293,Machine Learning,13,77,4,86,"Madrid, Spain",1970,26-04-2023,83%,100%
294,Freelancer_294,UI/UX Design,14,130,4.3,53,"Dublin, Ireland",2820,27-08-2020,83%,100%
295,Freelancer_295,"C++, Machine Learning",6,29,3.2,57,"San Francisco, USA",4296,20-09-2020,98%,96%
296,Freelancer_296,"C++, Digital Marketing, HTML",3,76,4.7,87,"Mumbai, India",8681,28-09-2022,87%,99%
297,Freelancer_297,"JavaScript, CSS",16,138,3.6,1,"Berlin, Germany",2496,28-05-2020,92%,89%
298,Freelancer_298,"React, UI/UX Design",8,64,3.7,2,"Mumbai, India",2167,19-07-2021,90%,87%
299,Freelancer_299,"Node.js, Machine Learning",0,17,4.1,46,"Toronto, Canada",5829,06-02-2023,95%,88%
300,Freelancer_300,"Machine Learning, Java, Data Analysis",20,52,4.2,80,"London, UK",6402,08-04-2021,84%,86%
301,Freelancer_301,C++,13,136,3.9,19,"Amsterdam, Netherlands",1037,02-03-2022,83%,88%
302,Freelancer_302,"UI/UX Design, Content Writing",13,45,3.2,67,"Vancouver, Canada",8750,24-01-2023,80%,86%
303,Freelancer_303,Machine Learning,7,46,3.4,73,"Berlin, Germany",9064,22-02-2023,87%,96%
304,Freelancer_304,"Digital Marketing, Node.js",4,44,5,47,"Amsterdam, Netherlands",1076,20-11-2020,98%,90%
305,Freelancer_305,"HTML, Python, Content Writing",1,14,3.8,88,"London, UK",3414,31-01-2022,99%,86%
306,Freelancer_306,"Java, Digital Marketing",12,60,3.7,98,"Sydney, Australia",4106,22-12-2022,91%,96%
307,Freelancer_307,"Data Analysis, Java, Digital Marketing",1,83,3.2,1,"Tokyo, Japan",3062,24-11-2022,88%,98%
308,Freelancer_308,"Python, Data Analysis, CSS",10,149,3.8,19,"Vancouver, Canada",8234,21-08-2022,95%,89%
309,Freelancer_309,"CSS, Content Writing, UI/UX Design, Node.js",12,60,4.1,30,"Dublin, Ireland",4526,01-11-2021,99%,100%
310,Freelancer_310,SQL,17,99,3.6,2,"Amsterdam, Netherlands",8378,05-11-2020,80%,99%
311,Freelancer_311,Java,12,146,4.8,18,"Berlin, Germany",9789,22-07-2021,100%,88%
312,Freelancer_312,UI/UX Design,10,105,3.6,36,"Vancouver, Canada",7729,05-10-2023,84%,86%
313,Freelancer_313,"SQL, JavaScript",19,85,4.9,50,"San Francisco, USA",7444,25-11-2020,84%,90%
314,Freelancer_314,"UI/UX Design, HTML",8,43,4.8,26,"Vancouver, Canada",4346,24-05-2022,87%,95%
315,Freelancer_315,"JavaScript, Java",18,146,3.9,1,"London, UK",5775,22-06-2022,93%,86%
316,Freelancer_316,CSS,20,83,3.1,22,"Toronto, Canada",964,07-03-2020,86%,94%
317,Freelancer_317,"Data Analysis, UI/UX Design",0,74,4.6,74,"Vancouver, Canada",2261,04-05-2022,86%,87%
318,Freelancer_318,"Python, React, JavaScript, Digital Marketing",3,12,4.5,8,"Mumbai, India",9328,15-07-2023,93%,100%
319,Freelancer_319,"Machine Learning, Data Analysis, Java, Node.js",15,132,4.3,80,"Berlin, Germany",5096,09-05-2021,95%,90%
320,Freelancer_320,"Python, JavaScript, SQL",6,129,4.2,63,"Berlin, Germany",1572,26-02-2021,94%,91%
321,Freelancer_321,"C++, Data Analysis, Content Writing, HTML",1,132,3.5,31,"London, UK",4213,18-04-2021,94%,87%
322,Freelancer_322,"Node.js, JavaScript",0,82,4.3,89,"Paris, France",2439,27-07-2024,82%,97%
323,Freelancer_323,Python,6,132,3.1,29,"Tokyo, Japan",5200,26-10-2021,96%,87%
324,Freelancer_324,"HTML, SQL, Node.js, React",20,114,4.7,69,"Vancouver, Canada",9105,23-04-2021,82%,90%
325,Freelancer_325,"Java, JavaScript, Data Analysis",12,72,4,73,"Toronto, Canada",871,10-05-2021,95%,86%
326,Freelancer_326,"Machine Learning, UI/UX Design, React, Content Writing",3,48,4.6,57,"Berlin, Germany",6350,29-09-2023,81%,97%
327,Freelancer_327,React,10,22,3.8,93,"Amsterdam, Netherlands",2232,14-04-2020,96%,94%
328,Freelancer_328,Node.js,9,53,4.2,66,"New York, USA",1935,09-04-2024,90%,98%
329,Freelancer_329,"CSS, Python",10,129,4.2,45,"Dublin, Ireland",3187,19-10-2022,100%,92%
330,Freelancer_330,"Data Analysis, Java",13,82,3.6,67,"Vancouver, Canada",7241,26-10-2020,100%,99%
331,Freelancer_331,Python,7,111,3.4,56,"Paris, France",2851,02-02-2020,89%,91%
332,Freelancer_332,"Data Analysis, Content Writing",18,36,3.1,70,"New York, USA",655,25-09-2022,99%,93%
333,Freelancer_333,"Python, Digital Marketing, Data Analysis",13,65,4.8,96,"Amsterdam, Netherlands",7822,28-04-2020,100%,93%
334,Freelancer_334,"SQL, Data Analysis, Content Writing",18,132,3.1,59,"Sydney, Australia",638,21-05-2020,91%,94%
335,Freelancer_335,"HTML, Node.js, Digital Marketing",18,28,3.8,95,"Sydney, Australia",5989,29-07-2021,96%,98%
336,Freelancer_336,"Data Analysis, JavaScript, C++",7,103,3.2,98,"London, UK",8304,11-02-2023,84%,100%
337,Freelancer_337,"Node.js, CSS, SQL, Content Writing",7,90,3.6,85,"Toronto, Canada",1739,26-08-2024,93%,86%
338,Freelancer_338,"JavaScript, C++, Java, Machine Learning",20,135,3.8,29,"Dublin, Ireland",9238,17-08-2022,98%,85%
339,Freelancer_339,"Python, Java, UI/UX Design",14,104,4.7,58,"Dublin, Ireland",8586,10-04-2024,98%,97%
340,Freelancer_340,"React, CSS, C++, SQL",15,70,3.2,74,"Madrid, Spain",2476,29-04-2024,86%,90%
341,Freelancer_341,"SQL, Data Analysis",14,62,4.8,94,"Toronto, Canada",7953,17-09-2021,93%,85%
342,Freelancer_342,Data Analysis,19,59,4.9,66,"Mumbai, India",1124,16-08-2020,95%,92%
343,Freelancer_343,"SQL, Java, C++, UI/UX Design",18,94,4.9,73,"Mumbai, India",3399,16-10-2023,91%,97%
344,Freelancer_344,"Python, Node.js",5,100,3.1,83,"London, UK",4487,03-02-2024,90%,95%
345,Freelancer_345,"Java, JavaScript, Node.js",19,150,3.9,13,"Toronto, Canada",1326,24-08-2023,97%,85%
346,Freelancer_346,"Node.js, JavaScript",0,118,4.8,63,"Dublin, Ireland",5684,26-07-2020,93%,91%
347,Freelancer_347,SQL,3,97,3.5,0,"Vancouver, Canada",9993,22-03-2020,83%,92%
348,Freelancer_348,"React, JavaScript",12,95,4.1,20,"Sydney, Australia",4267,23-10-2021,89%,86%
349,Freelancer_349,"Digital Marketing, Python, CSS",17,101,3.7,85,"Vancouver, Canada",511,25-11-2021,80%,100%
350,Freelancer_350,"CSS, Java, Data Analysis",1,110,3.1,54,"Amsterdam, Netherlands",2111,19-10-2023,85%,94%
351,Freelancer_351,"Content Writing, C++, UI/UX Design, React",3,83,3.2,9,"Paris, France",8249,12-05-2024,96%,95%
352,Freelancer_352,HTML,15,100,4.7,93,"Tokyo, Japan",7306,24-02-2020,91%,91%
353,Freelancer_353,CSS,11,131,4.3,70,"Amsterdam, Netherlands",816,25-01-2022,81%,99%
354,Freelancer_354,"Data Analysis, Python, Content Writing",20,31,4.5,29,"Mumbai, India",4885,07-02-2024,96%,94%
355,Freelancer_355,"Machine Learning, CSS, SQL",7,32,4.5,64,"New York, USA",5930,13-09-2020,94%,98%
356,Freelancer_356,Data Analysis,13,56,3.3,18,"Madrid, Spain",7584,19-06-2020,88%,99%
357,Freelancer_357,JavaScript,1,144,3.4,86,"New York, USA",9552,02-09-2023,80%,85%
358,Freelancer_358,Node.js,7,149,3,16,"Mumbai, India",938,26-06-2023,84%,91%
359,Freelancer_359,"React, UI/UX Design",12,122,3.8,12,"Berlin, Germany",4875,21-01-2022,99%,87%
360,Freelancer_360,"JavaScript, C++",13,87,3.1,57,"Madrid, Spain",7007,20-03-2023,99%,99%
361,Freelancer_361,"CSS, React, UI/UX Design, Python",16,15,3.2,72,"Sydney, Australia",3996,14-12-2021,100%,92%
362,Freelancer_362,"C++, Python",15,42,4.2,46,"Madrid, Spain",858,05-01-2024,95%,94%
363,Freelancer_363,"Java, SQL, CSS",13,37,3.7,35,"Tokyo, Japan",9380,13-06-2021,93%,88%
364,Freelancer_364,Python,19,121,3.5,21,"Paris, France",4054,19-09-2022,94%,87%
365,Freelancer_365,"CSS, React",17,61,4.3,28,"Tokyo, Japan",9859,17-04-2023,83%,88%
366,Freelancer_366,"Digital Marketing, JavaScript",12,16,4.4,85,"Amsterdam, Netherlands",2499,03-05-2020,85%,95%
367,Freelancer_367,CSS,4,67,3.2,22,"Dublin, Ireland",1781,08-07-2023,80%,98%
368,Freelancer_368,"CSS, Data Analysis, Java",16,18,3.1,13,"London, UK",1744,11-02-2020,83%,92%
369,Freelancer_369,"SQL, Python",9,44,4.8,73,"Toronto, Canada",6278,10-07-2022,92%,95%
370,Freelancer_370,"JavaScript, Java",16,84,3.2,43,"Vancouver, Canada",710,11-06-2022,99%,97%
371,Freelancer_371,"React, SQL, C++",2,112,3.4,84,"London, UK",1504,21-12-2022,98%,98%
372,Freelancer_372,"Data Analysis, HTML",18,136,4.5,61,"New York, USA",650,05-06-2023,80%,86%
373,Freelancer_373,"HTML, CSS, Content Writing, Data Analysis",13,68,4.6,35,"Tokyo, Japan",7596,09-07-2023,94%,88%
374,Freelancer_374,"React, Digital Marketing, Content Writing",13,139,4.9,14,"Mumbai, India",8208,22-01-2024,85%,93%
375,Freelancer_375,"React, Digital Marketing",17,115,4.4,28,"Tokyo, Japan",6573,19-03-2020,86%,99%
376,Freelancer_376,"Digital Marketing, Content Writing, Machine Learning",9,98,4.2,57,"Vancouver, Canada",2405,19-11-2020,94%,86%
377,Freelancer_377,"SQL, Node.js",16,112,3.4,89,"Tokyo, Japan",463,04-06-2023,80%,85%
378,Freelancer_378,"Data Analysis, JavaScript",10,35,4,64,"Mumbai, India",1856,07-04-2024,99%,92%
379,Freelancer_379,"Python, JavaScript, HTML, Java",7,115,5,40,"Madrid, Spain",2195,17-10-2021,92%,99%
380,Freelancer_380,"CSS, Machine Learning, HTML, Node.js",12,19,4.8,92,"Tokyo, Japan",8537,07-06-2020,93%,99%
381,Freelancer_381,"CSS, Node.js, Machine Learning",17,48,4.6,60,"Vancouver, Canada",2628,01-01-2020,87%,85%
382,Freelancer_382,"Python, Node.js, JavaScript",11,133,3.5,85,"Mumbai, India",5337,05-04-2022,86%,98%
383,Freelancer_383,JavaScript,5,114,3.9,91,"Berlin, Germany",5975,14-01-2022,87%,98%
384,Freelancer_384,"Content Writing, HTML",18,124,4.6,3,"London, UK",4124,08-07-2023,84%,85%
385,Freelancer_385,"Java, SQL, C++, Python",15,52,3.4,81,"San Francisco, USA",1588,04-12-2020,84%,97%
386,Freelancer_386,"Node.js, React, C++, Digital Marketing",11,32,4.2,89,"Paris, France",1095,18-01-2022,83%,88%
387,Freelancer_387,"UI/UX Design, Content Writing, Data Analysis, HTML",13,113,4.2,49,"Paris, France",8326,15-09-2023,82%,100%
388,Freelancer_388,"Python, C++",9,47,4.7,15,"San Francisco, USA",5084,19-04-2021,89%,87%
389,Freelancer_389,HTML,1,10,3,86,"Vancouver, Canada",7499,10-06-2023,84%,94%
390,Freelancer_390,"UI/UX Design, Node.js, SQL",3,76,3.9,84,"Toronto, Canada",5260,29-06-2023,88%,94%
391,Freelancer_391,"CSS, Content Writing, React, Java",2,110,3.9,88,"Sydney, Australia",2014,01-11-2021,95%,97%
392,Freelancer_392,C++,5,91,3.6,15,"Toronto, Canada",2825,03-12-2022,99%,100%
393,Freelancer_393,"C++, SQL",20,15,4.6,55,"Mumbai, India",7679,04-10-2022,97%,91%
394,Freelancer_394,Node.js,7,103,3.1,8,"Berlin, Germany",7739,14-07-2024,81%,94%
395,Freelancer_395,"C++, React, Digital Marketing",13,85,4.1,57,"Paris, France",1010,26-09-2021,96%,92%
396,Freelancer_396,"Python, JavaScript, React, Content Writing",14,11,3.6,73,"Tokyo, Japan",86,28-05-2023,81%,88%
397,Freelancer_397,"Machine Learning, C++, UI/UX Design",14,41,4.4,38,"Mumbai, India",5869,05-09-2022,84%,87%
398,Freelancer_398,"Machine Learning, HTML, Content Writing",1,111,3.9,67,"Toronto, Canada",9979,19-08-2020,88%,93%
399,Freelancer_399,"Java, SQL",2,87,3.5,89,"Dublin, Ireland",7205,04-05-2022,81%,95%
400,Freelancer_400,"Python, React, Java",7,114,3.8,89,"Madrid, Spain",4506,25-02-2020,99%,86%
401,Freelancer_401,JavaScript,7,74,4.6,98,"Tokyo, Japan",2572,14-04-2022,98%,93%
402,Freelancer_402,"Data Analysis, Node.js, Java",16,118,4.9,22,"Madrid, Spain",9754,04-01-2020,93%,87%
403,Freelancer_403,"HTML, Node.js, UI/UX Design",3,148,3.6,70,"Madrid, Spain",131,01-01-2022,85%,89%
404,Freelancer_404,"Node.js, HTML, Content Writing",15,111,3,28,"Paris, France",5282,15-04-2020,90%,88%
405,Freelancer_405,"Java, Content Writing, UI/UX Design",8,76,3.7,50,"New York, USA",8070,24-03-2020,92%,88%
406,Freelancer_406,Machine Learning,13,64,4.2,29,"Toronto, Canada",821,12-04-2022,96%,88%
407,Freelancer_407,"Digital Marketing, C++, Python",4,40,4.9,83,"Berlin, Germany",1399,20-01-2020,95%,92%
408,Freelancer_408,"Java, Data Analysis, React",7,89,3.6,63,"New York, USA",4188,08-12-2022,82%,95%
409,Freelancer_409,Java,9,121,3.7,74,"Mumbai, India",3868,02-07-2023,81%,89%
410,Freelancer_410,UI/UX Design,5,129,3.6,53,"New York, USA",726,27-03-2024,87%,95%
411,Freelancer_411,"UI/UX Design, Node.js",16,17,4.5,47,"Berlin, Germany",4114,09-09-2024,100%,97%
412,Freelancer_412,"Digital Marketing, Content Writing",16,76,4.3,31,"London, UK",370,18-09-2021,81%,98%
413,Freelancer_413,"Python, Node.js, Digital Marketing, React",17,105,3.9,50,"New York, USA",4787,18-06-2021,93%,93%
414,Freelancer_414,"SQL, CSS, HTML",12,53,4.7,66,"Berlin, Germany",9201,05-03-2024,83%,92%
415,Freelancer_415,"Node.js, Java",6,109,3.5,56,"San Francisco, USA",2832,01-01-2024,85%,91%
416,Freelancer_416,"Python, Data Analysis, HTML, UI/UX Design",6,33,3.5,45,"Vancouver, Canada",4396,02-04-2020,91%,95%
417,Freelancer_417,"JavaScript, React, Digital Marketing, CSS",18,19,3.7,33,"Amsterdam, Netherlands",5323,22-10-2020,89%,93%
418,Freelancer_418,"Java, C++, CSS, HTML",2,26,3.1,92,"Tokyo, Japan",6479,03-10-2020,95%,96%
419,Freelancer_419,Content Writing,12,117,4.1,61,"Mumbai, India",2769,28-07-2023,96%,90%
420,Freelancer_420,"JavaScript, UI/UX Design, React",2,86,4,5,"Vancouver, Canada",4514,10-01-2021,89%,96%
421,Freelancer_421,Digital Marketing,0,51,4.4,72,"Tokyo, Japan",1258,11-10-2021,87%,92%
422,Freelancer_422,"JavaScript, SQL, Node.js",15,33,3.5,57,"Dublin, Ireland",7508,23-05-2024,82%,88%
423,Freelancer_423,"UI/UX Design, React, Machine Learning, SQL",4,95,4.7,32,"Mumbai, India",4876,09-07-2023,89%,95%
424,Freelancer_424,"Java, Data Analysis, Digital Marketing",14,29,4.3,61,"Madrid, Spain",4967,24-07-2022,100%,94%
425,Freelancer_425,"UI/UX Design, Python, Digital Marketing, Java",14,115,3.4,36,"Amsterdam, Netherlands",5937,17-02-2021,88%,95%
426,Freelancer_426,Machine Learning,8,140,3.6,52,"Mumbai, India",6137,06-07-2024,81%,93%
427,Freelancer_427,"CSS, Digital Marketing, JavaScript, C++",2,77,4.4,56,"Dublin, Ireland",2312,31-03-2020,95%,89%
428,Freelancer_428,"SQL, Java, Python",7,27,4.4,99,"Berlin, Germany",3031,01-04-2021,95%,89%
429,Freelancer_429,"Data Analysis, Java, JavaScript",6,41,3.8,73,"Paris, France",5399,16-10-2020,100%,97%
430,Freelancer_430,Java,7,101,4.5,61,"London, UK",8020,14-03-2022,84%,85%
431,Freelancer_431,"Java, UI/UX Design, Digital Marketing",9,149,4.9,32,"Amsterdam, Netherlands",5696,14-08-2020,83%,86%
432,Freelancer_432,"Digital Marketing, HTML",7,116,3.4,26,"Sydney, Australia",9364,17-03-2020,83%,86%
433,Freelancer_433,"CSS, Python, SQL",17,52,3.6,37,"Dublin, Ireland",8043,05-12-2020,80%,88%
434,Freelancer_434,Machine Learning,15,97,4.5,21,"Berlin, Germany",658,03-08-2023,92%,91%
435,Freelancer_435,"Content Writing, Python",2,15,3.4,68,"Berlin, Germany",6478,24-05-2023,96%,86%
436,Freelancer_436,"Data Analysis, HTML",16,28,3.5,17,"Dublin, Ireland",4846,23-08-2023,90%,99%
437,Freelancer_437,"React, Data Analysis, C++, HTML",11,97,3.4,73,"San Francisco, USA",2508,27-05-2020,82%,97%
438,Freelancer_438,"SQL, React, JavaScript",17,71,4.5,89,"Tokyo, Japan",3910,03-05-2024,88%,86%
439,Freelancer_439,"SQL, Digital Marketing, React",8,80,3.1,44,"Vancouver, Canada",6409,05-06-2024,84%,95%
440,Freelancer_440,"Python, HTML",16,13,3.6,57,"Tokyo, Japan",2210,30-12-2023,82%,91%
441,Freelancer_441,"C++, Data Analysis",16,110,4.1,41,"San Francisco, USA",7436,16-11-2023,100%,95%
442,Freelancer_442,Content Writing,6,70,4.2,37,"London, UK",9900,03-04-2020,100%,95%
443,Freelancer_443,HTML,5,127,3.3,5,"San Francisco, USA",8389,31-03-2022,100%,90%
444,Freelancer_444,"HTML, Digital Marketing, Content Writing, Machine Learning",6,150,3.9,31,"New York, USA",9767,28-02-2021,95%,85%
445,Freelancer_445,C++,15,69,3.6,15,"Sydney, Australia",6640,15-03-2022,81%,88%
446,Freelancer_446,SQL,18,75,4.4,51,"San Francisco, USA",7284,17-11-2022,92%,91%
447,Freelancer_447,C++,7,17,3.6,32,"Paris, France",3841,07-08-2022,92%,91%
448,Freelancer_448,"UI/UX Design, SQL, CSS",10,52,4.7,24,"Toronto, Canada",2616,22-09-2022,86%,99%
449,Freelancer_449,"CSS, JavaScript",16,102,4.9,13,"San Francisco, USA",4133,07-11-2022,85%,91%
450,Freelancer_450,"Content Writing, React, UI/UX Design, Node.js",3,129,4.4,14,"Paris, France",1916,13-12-2021,84%,96%
451,Freelancer_451,"C++, CSS",8,76,3.4,20,"London, UK",1416,29-05-2020,98%,90%
452,Freelancer_452,"Java, HTML, Machine Learning",12,15,3.6,76,"New York, USA",9208,26-01-2024,80%,95%
453,Freelancer_453,Machine Learning,4,81,3.5,79,"New York, USA",7157,12-06-2024,92%,91%
454,Freelancer_454,"Digital Marketing, JavaScript",9,122,4.5,75,"Mumbai, India",8399,28-04-2024,88%,89%
455,Freelancer_455,"Python, React, JavaScript",7,13,3.1,70,"New York, USA",9975,28-03-2021,95%,90%
456,Freelancer_456,"SQL, CSS, HTML",4,24,4.8,12,"Tokyo, Japan",6934,10-06-2022,82%,93%
457,Freelancer_457,"JavaScript, Java",8,123,3.1,99,"New York, USA",8440,21-02-2021,84%,90%
458,Freelancer_458,"JavaScript, React, Machine Learning, CSS",3,28,5,15,"Paris, France",8297,03-03-2020,99%,100%
459,Freelancer_459,"Content Writing, Node.js",7,75,4.3,43,"Tokyo, Japan",1534,27-05-2020,81%,88%
460,Freelancer_460,"Python, Data Analysis, SQL, Java",4,118,4.4,4,"New York, USA",73,01-06-2021,80%,97%
461,Freelancer_461,Digital Marketing,16,77,4.1,55,"Berlin, Germany",3393,24-01-2023,95%,85%
462,Freelancer_462,"Digital Marketing, Java, Data Analysis",20,133,4.4,97,"Dublin, Ireland",6066,08-08-2022,81%,97%
463,Freelancer_463,"Java, SQL",14,125,3.3,60,"Berlin, Germany",3374,30-06-2020,95%,97%
464,Freelancer_464,Machine Learning,20,67,3.7,92,"Toronto, Canada",8912,16-02-2020,88%,87%
465,Freelancer_465,Machine Learning,11,45,3.8,74,"Mumbai, India",7813,22-12-2021,89%,89%
466,Freelancer_466,"Data Analysis, Machine Learning, C++, JavaScript",1,95,3.5,92,"New York, USA",751,12-06-2022,81%,93%
467,Freelancer_467,"Digital Marketing, UI/UX Design, Data Analysis",13,66,3,28,"Berlin, Germany",7210,28-06-2023,89%,96%
468,Freelancer_468,"Python, Node.js",10,31,4.9,57,"London, UK",6446,01-07-2023,99%,86%
469,Freelancer_469,"JavaScript, Data Analysis, Python, Java",18,61,3.7,32,"Toronto, Canada",6624,01-09-2022,96%,86%
470,Freelancer_470,"React, SQL, Data Analysis, Node.js",12,14,4.5,16,"San Francisco, USA",1554,27-06-2023,89%,100%
471,Freelancer_471,"Digital Marketing, JavaScript, CSS, Content Writing",6,24,3.8,52,"Mumbai, India",1539,13-07-2020,99%,85%
472,Freelancer_472,"Java, Machine Learning, HTML, CSS",20,19,3.1,65,"Amsterdam, Netherlands",4842,14-01-2023,98%,97%
473,Freelancer_473,Content Writing,10,125,3.5,15,"Madrid, Spain",6153,30-01-2021,84%,91%
474,Freelancer_474,"Digital Marketing, React, Data Analysis, Content Writing",2,10,3.1,21,"Sydney, Australia",6838,12-09-2020,90%,93%
